Name,Category,IBU,ABV,OG,FG,°L
American Amber Ale,American Ale,33,5.40%,1.053,1.013,14
American Barleywine,Strong Ale,85,10.00%,1.1,1.023,15
American Brown Ale,American Ale,30,5.30%,1.053,1.013,27
American IPA,India Pale Ale (IPA),55,6.50%,1.066,1.014,11
American Pale Ale,American Ale,38,5.40%,1.053,1.013,10
American Stout,Stout,55,6.00%,1.063,1.016,35
American Wheat or Rye Beer,Light Hybrid Beer,23,4.80%,1.048,1.011,5
Apple Wine,Cider or Perry,0,10.50%,1.085,1.003,10
Baltic Porter,Porter,30,7.50%,1.075,1.02,24
Belgian Blond Ale,Belgian Strong Ale,23,6.80%,1.069,1.013,6
Belgian Dark Strong Ale,Belgian Strong Ale,28,9.50%,1.093,1.017,17
Belgian Dubbel,Belgian Strong Ale,20,6.80%,1.069,1.013,14
Belgian Golden Strong Ale,Belgian Strong Ale,29,9.00%,1.083,1.011,5
Belgian Pale Ale,Belgian and French Ale,25,5.20%,1.051,1.012,11
Belgian Specialty Ale,Belgian and French Ale,65,10.60%,1.118,1.015,21
Belgian Tripel,Belgian Strong Ale,30,8.50%,1.08,1.011,6
Berliner Weisse,Sour Ale,6,3.30%,1.03,1.005,3
Bière de Garde,Belgian and French Ale,23,7.30%,1.07,1.012,13
Blonde Ale,Light Hybrid Beer,22,4.70%,1.046,1.011,5
Bohemian Pilsener,Pilsner,40,4.80%,1.05,1.015,5
Braggot,Mead,0,19.10%,1.12,0.995,20
Brown Porter,Porter,27,4.70%,1.046,1.011,25
California Common Beer,Amber Hybrid Beer,38,5.00%,1.051,1.013,12
Classic American Pilsner,Pilsner,33,5.30%,1.052,1.013,5
Classic Rauchbier,Smoke Flavored/Wood-Aged Beer,25,5.40%,1.054,1.014,17
Common Cider,Cider or Perry,0,6.50%,1.055,1.01,10
Common Perry,Cider or Perry,0,6.00%,1.055,1.01,10
Cream Ale,Light Hybrid Beer,18,4.90%,1.049,1.009,4
Cyser (Apple Melomel),Mead,0,19.10%,1.12,0.995,20
