scanname Analyse039
timestamp 2017-02-10 20:49:59
ccdbias 899.517090
ccdgain 3.473401
sigmaread 8.960639
laserwavenum -0.806596
wavenumcorrection -0.283632
scancount 1
totalexposurems 10000
singleexposurems 10000
measurementstate Unknown
scanmode Manual
snr 92.266945 1.043602 0.591075
replacelist 1
671 19725.000000 9828.000000
peaks 8
388.074371 0.244499 0.000000 0.196239 0.000010
809.581055 0.212248 0.000000 0.057063 0.000027
878.556885 0.204720 0.000000 0.208006 0.000037
936.654541 0.193560 0.000000 0.136455 0.000014
1313.690186 0.174404 0.000000 5.908186 0.000817
1335.159790 0.175401 0.000000 4.677927 0.000693
1459.354370 0.154380 0.000000 0.069917 0.000031
2327.307617 0.068749 0.000000 0.137216 0.000139
finalresult GLS_Single 1
A6025	2-Nitrothiophene	5.216273e-002
spectrum 2048
-96.794861 45673.000000
-94.167992 45673.000000
-91.542999 46210.000000
-88.919899 46138.000000
-86.298668 47025.000000
-83.679337 46714.000000
-81.061867 47002.000000
-78.446274 46837.000000
-75.832558 47076.000000
-73.220718 47414.000000
-70.610741 47232.000000
-68.002647 47380.000000
-65.396400 47379.000000
-62.792030 47455.000000
-60.189522 47367.000000
-57.588867 47819.000000
-54.990074 47216.000000
-52.393139 46551.000000
-49.798058 46934.000000
-47.204830 46963.000000
-44.613453 47230.000000
-42.023922 46723.000000
-39.436234 47526.000000
-36.850395 47447.000000
-34.266399 46923.000000
-31.684238 47671.000000
-29.103926 47042.000000
-26.525440 47601.000000
-23.948797 47211.000000
-21.373980 46991.000000
-18.801003 46767.000000
-16.229845 46843.000000
-13.660522 46354.000000
-11.093024 45393.000000
-8.527345 46809.000000
-5.963490 46622.000000
-3.401450 47003.000000
-0.841234 47132.000000
1.717174 46647.000000
4.273761 45698.000000
6.828543 45837.000000
9.381508 46187.000000
11.932673 45055.000000
14.482024 44741.000000
17.029581 44000.000000
19.575325 44243.000000
22.119276 43682.000000
24.661423 41186.000000
27.201773 38790.000000
29.740337 35397.000000
32.277103 31285.000000
34.812069 22740.000000
37.345257 13320.000000
39.876663 8740.000000
42.406277 8197.000000
44.934093 7695.000000
47.460152 6945.000000
49.984421 6043.000000
52.506920 5180.000000
55.027622 4918.000000
57.546570 5247.000000
60.063744 6301.000000
62.579140 7574.000000
65.092758 8156.000000
67.604622 8305.000000
70.114738 6599.000000
72.623062 4243.000000
75.129631 3432.000000
77.634453 2812.000000
80.137520 2323.000000
82.638809 2201.000000
85.138359 2030.000000
87.636154 1897.000000
90.132217 2233.000000
92.626503 2653.000000
95.119049 2962.000000
97.609879 2755.000000
100.098938 2525.000000
102.586250 1918.000000
105.071838 1602.000000
107.555687 1476.000000
110.037788 1363.000000
112.518166 1341.000000
114.996819 1180.000000
117.473747 1215.000000
119.948921 1084.000000
122.422386 1053.000000
124.894119 1109.000000
127.364143 1092.000000
129.832413 1154.000000
132.299011 1176.000000
134.763855 1253.000000
137.227005 1314.000000
139.688416 1468.000000
142.148132 1548.000000
144.606125 1811.000000
147.062424 2078.000000
149.517014 2551.000000
151.969879 2948.000000
154.421066 3397.000000
156.870560 4079.000000
159.318329 4809.000000
161.764389 5430.000000
164.208771 6201.000000
166.651474 6679.000000
169.092484 7238.000000
171.531784 7642.000000
173.969376 7948.000000
176.405334 8310.000000
178.839554 8325.000000
181.272095 8396.000000
183.702988 8427.000000
186.132156 8436.000000
188.559677 8536.000000
190.985519 8463.000000
193.409683 8608.000000
195.832184 8659.000000
198.252991 8841.000000
200.672134 9068.000000
203.089615 9381.000000
205.505402 9604.000000
207.919540 10034.000000
210.332047 10410.000000
212.742874 10996.000000
215.152023 11847.000000
217.559540 12541.000000
219.965347 13305.000000
222.369568 13903.000000
224.772079 14396.000000
227.172974 15078.000000
229.572220 15505.000000
231.969803 15858.000000
234.365723 15910.000000
236.760025 15975.000000
239.152664 16271.000000
241.543686 16062.000000
243.933044 16152.000000
246.320786 16227.000000
248.706879 16306.000000
251.091339 16247.000000
253.474152 16305.000000
255.855392 16245.000000
258.234924 16282.000000
260.612885 16315.000000
262.989166 16194.000000
265.363892 16218.000000
267.736969 16161.000000
270.108398 16256.000000
272.478180 16246.000000
274.846405 16088.000000
277.212982 16227.000000
279.577972 16157.000000
281.941345 16201.000000
284.303070 16287.000000
286.663208 16131.000000
289.021729 16082.000000
291.378662 16113.000000
293.733978 16131.000000
296.087708 16131.000000
298.439789 15894.000000
300.790314 15919.000000
303.139252 15915.000000
305.486542 16049.000000
307.832306 15881.000000
310.176392 15824.000000
312.518951 15698.000000
314.859894 15714.000000
317.199219 15782.000000
319.536987 15767.000000
321.873199 15592.000000
324.207764 15624.000000
326.540771 15796.000000
328.872223 15680.000000
331.202087 15482.000000
333.530365 15608.000000
335.857025 15533.000000
338.182190 15559.000000
340.505737 15621.000000
342.827728 15540.000000
345.148163 15320.000000
347.466980 15241.000000
349.784241 15187.000000
352.099976 15343.000000
354.414124 15336.000000
356.726685 15409.000000
359.037689 15322.000000
361.347168 15293.000000
363.655121 15310.000000
365.961456 15537.000000
368.266205 15417.000000
370.569489 15276.000000
372.871155 15317.000000
375.171326 15367.000000
377.469940 15399.000000
379.766998 15481.000000
382.062500 15553.000000
384.356476 15461.000000
386.648865 15487.000000
388.939758 15575.000000
391.229126 15709.000000
393.516907 15774.000000
395.803162 15706.000000
398.087921 15666.000000
400.371063 15898.000000
402.652771 15818.000000
404.932953 15773.000000
407.211548 15659.000000
409.488617 15511.000000
411.764160 15543.000000
414.038177 15628.000000
416.310760 15603.000000
418.581726 15538.000000
420.851196 15498.000000
423.119171 15322.000000
425.385590 15435.000000
427.650513 15162.000000
429.913971 15271.000000
432.175842 15228.000000
434.436249 15309.000000
436.695099 15190.000000
438.952484 15245.000000
441.208374 15186.000000
443.462769 14941.000000
445.715637 14998.000000
447.966949 14833.000000
450.216858 14963.000000
452.465179 14712.000000
454.712067 14757.000000
456.957489 14699.000000
459.201355 14618.000000
461.443726 14586.000000
463.684601 14752.000000
465.924072 14685.000000
468.161957 14755.000000
470.398407 14572.000000
472.633331 14444.000000
474.866791 14469.000000
477.098816 14342.000000
479.329315 14422.000000
481.558319 14348.000000
483.785858 14308.000000
486.011902 14343.000000
488.236511 14444.000000
490.459656 14247.000000
492.681335 14469.000000
494.901459 14343.000000
497.120178 14487.000000
499.337402 14476.000000
501.553253 14453.000000
503.767487 14430.000000
505.980408 14327.000000
508.191742 14435.000000
510.401642 14499.000000
512.610107 14542.000000
514.817200 14513.000000
517.022705 14495.000000
519.226807 14478.000000
521.429382 14374.000000
523.630554 14356.000000
525.830383 14302.000000
528.028687 14286.000000
530.225464 14301.000000
532.420898 14220.000000
534.614807 14224.000000
536.807373 14079.000000
538.998413 14160.000000
541.188049 14061.000000
543.376282 14137.000000
545.562988 14003.000000
547.748230 14010.000000
549.932190 13624.000000
552.114563 13530.000000
554.295593 13662.000000
556.475098 13467.000000
558.653320 13484.000000
560.830017 13347.000000
563.005310 13496.000000
565.179199 13265.000000
567.351624 13251.000000
569.522644 13293.000000
571.692200 13326.000000
573.860474 13423.000000
576.027222 13329.000000
578.192505 13426.000000
580.356384 13369.000000
582.518982 13475.000000
584.680054 13383.000000
586.839722 13527.000000
588.998047 13521.000000
591.154846 13498.000000
593.310303 13407.000000
595.464355 13466.000000
597.617065 13513.000000
599.768250 13366.000000
601.918091 13608.000000
604.066589 13503.000000
606.213501 13404.000000
608.359192 13402.000000
610.503479 13424.000000
612.646301 13408.000000
614.787659 13475.000000
616.927795 13520.000000
619.066406 13263.000000
621.203735 13524.000000
623.339600 13373.000000
625.474060 13213.000000
627.607056 13231.000000
629.738892 13170.000000
631.869263 13083.000000
633.998230 13166.000000
636.125732 12891.000000
638.251953 12886.000000
640.376648 12833.000000
642.500122 12734.000000
644.622253 12780.000000
646.742920 12394.000000
648.862244 12524.000000
650.980164 12561.000000
653.096741 12580.000000
655.211914 12736.000000
657.325745 12324.000000
659.438110 12432.000000
661.549255 12442.000000
663.658997 12364.000000
665.767273 12508.000000
667.874390 12441.000000
669.980042 12220.000000
672.084229 12335.000000
674.187195 12325.000000
676.288757 12279.000000
678.388977 12418.000000
680.487793 12456.000000
682.585266 12667.000000
684.681458 12517.000000
686.776184 12582.000000
688.869690 12644.000000
690.961853 12409.000000
693.052490 12613.000000
695.141907 12766.000000
697.230042 12617.000000
699.316711 12675.000000
701.402161 12574.000000
703.486084 12710.000000
705.568787 12545.000000
707.650208 12502.000000
709.730164 12206.000000
711.808899 11887.000000
713.886169 11916.000000
715.962158 12046.000000
718.036865 11951.000000
720.110291 11965.000000
722.182190 12278.000000
724.252930 12100.000000
726.322327 11980.000000
728.390320 11777.000000
730.456970 11894.000000
732.522400 11732.000000
734.586487 11836.000000
736.649231 11627.000000
738.710632 11566.000000
740.770752 11524.000000
742.829468 11540.000000
744.886963 11367.000000
746.943176 11542.000000
748.997986 11271.000000
751.051514 11332.000000
753.103638 11392.000000
755.154541 11247.000000
757.204224 11257.000000
759.252441 11198.000000
761.299438 11305.000000
763.345154 11120.000000
765.389465 11110.000000
767.432495 11253.000000
769.474304 10777.000000
771.514771 11123.000000
773.553833 11095.000000
775.591736 11245.000000
777.628296 11319.000000
779.663635 11270.000000
781.697632 11367.000000
783.730225 11361.000000
785.761658 11446.000000
787.791687 11210.000000
789.820435 11335.000000
791.848022 11434.000000
793.874268 11486.000000
795.899109 11556.000000
797.922852 11592.000000
799.945190 11585.000000
801.966309 11584.000000
803.986084 11544.000000
806.004578 11872.000000
808.021851 11637.000000
810.037720 11842.000000
812.052429 11659.000000
814.065796 11531.000000
816.077942 11428.000000
818.088867 11358.000000
820.098450 11124.000000
822.106812 11181.000000
824.113770 11025.000000
826.119507 11003.000000
828.124023 10968.000000
830.127258 10775.000000
832.129211 10846.000000
834.129883 10743.000000
836.129333 10623.000000
838.127441 10720.000000
840.124451 10810.000000
842.120056 10781.000000
844.114502 10750.000000
846.107605 10578.000000
848.099487 10491.000000
850.090027 10407.000000
852.079285 10314.000000
854.067505 10369.000000
856.054321 10257.000000
858.039917 10265.000000
860.024231 10165.000000
862.007446 10244.000000
863.989258 10206.000000
865.969849 10143.000000
867.949158 9958.000000
869.927307 10102.000000
871.904114 10256.000000
873.879639 10185.000000
875.854126 10503.000000
877.827148 10680.000000
879.799133 10728.000000
881.769775 10547.000000
883.739258 10527.000000
885.707397 10569.000000
887.674377 10579.000000
889.640015 10555.000000
891.604492 10490.000000
893.567749 10377.000000
895.529785 10331.000000
897.490540 10347.000000
899.450073 10434.000000
901.408325 10231.000000
903.365479 10138.000000
905.321472 10339.000000
907.276062 10190.000000
909.229431 10115.000000
911.181641 9993.000000
913.132629 10128.000000
915.082336 9758.000000
917.030884 9821.000000
918.978210 9910.000000
920.924255 9658.000000
922.869019 9672.000000
924.812744 9379.000000
926.755310 9410.000000
928.696594 9176.000000
930.636536 9240.000000
932.575378 9165.000000
934.512939 9163.000000
936.449280 9167.000000
938.384460 9104.000000
